"EtapaVida","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040"
"Infancia (0 a 12)",0.19369532568346,0.187286719901662,0.180423726165125,0.173475133107055,0.166351580728112,0.158788412677755,0.151240133643905,0.14445330986253,0.13836541964427,0.132860446123857,0.128412945434868,0.125484300506946,0.123754801147654,0.12279695821932,0.122541104092854,0.122770307186235,0.123266361778825,0.12399402619459,0.124888738327785
"Adolescencia (13 a 18)",0.0953516590742256,0.0956524604787134,0.0959101690836995,0.0963089133103347,0.0968823299822875,0.097520672024759,0.0978252453205227,0.0973628788774531,0.0962354219669017,0.0947229887027595,0.092247024995576,0.0880501329985137,0.0828267034903642,0.077679281413356,0.0725577737835681,0.0674991535623224,0.0631692612312916,0.0600367317193232,0.0578296563488627
"Adultez joven (19 a 39)",0.316917427220324,0.317732120304679,0.318653489999286,0.31933866610927,0.319818856037254,0.320485028911967,0.321293521649316,0.32197719052161,0.322554670679298,0.322931169012932,0.323258344891861,0.323917567645348,0.324577139519628,0.324534119308344,0.323890925306819,0.322813119758622,0.320841892802327,0.317521063001438,0.313191136713982
"Edad media (40 a 59)",0.232082792328238,0.235401918126841,0.238658034968576,0.242065433797993,0.24564752710587,0.249378089689635,0.253217705485271,0.257043817234266,0.260723784409718,0.264173500623656,0.267367699313347,0.270209003687529,0.272590155196698,0.274485153627701,0.275902195102501,0.276846752733431,0.277409754276976,0.277853622374181,0.278406968573297
"Adultez tardía (60 a 79)",0.132519026151162,0.134170533024922,0.136011639993769,0.137803684119235,0.139511212849945,0.141155392736724,0.142781456317101,0.144520345020467,0.146520002646735,0.148779184053817,0.151242834407521,0.153926990409631,0.156885159409561,0.160177009067904,0.16381831342222,0.167817521572951,0.172093087777817,0.176397541033023,0.180490067414913
"Vejez (80 y más)",0.029433769542591,0.0297562481631832,0.0303429397895453,0.0310081695561123,0.0317884932965311,0.0326724039591603,0.0336419375838844,0.0346424584836742,0.0356007006530773,0.0365327114829788,0.037471150956826,0.0384120047520322,0.0393660412360956,0.0403274783633748,0.0412896882920381,0.0422531451864388,0.0432196421327645,0.0441970156774449,0.0451934326211604
