"GrupoEdad","2026","2040"
"0 a 9",5452685,4643419
"10 a 19",7500824,4570892
"20 a 29",7192150,7150527
"30 a 39",6946872,7197865
"40 a 49",6386974,6931021
"50 a 59",5027453,6297240
"60 a 69",3818726,5277016
"70 a 79",2663898,3298810
"80 a 89",1193196,1707740
"90 y más",283910,439586
